# US · SPUS + HLAL constituents
# Built by scripts/build_universe.py. `sector` and `industry` are Yahoo's own
# labels, verbatim - the halal activity screen matches against these strings,
# so they must be spelled the way the screen will see them at scan time.
symbol,name,sector,industry,yf_ticker
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,A
AAPL,Apple Inc.,Technology,Consumer Electronics,AAPL
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,ABBV
ABT,Abbott Laboratories,Healthcare,Medical Devices,ABT
ACN,Accenture plc,Technology,Information Technology Services,ACN
ADBE,Adobe Inc.,Technology,Software - Application,ADBE
ADI,"Analog Devices, Inc.",Technology,Semiconductors,ADI
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,ADM
ADSK,"Autodesk, Inc.",Technology,Software - Application,ADSK
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,AKAM
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,ALB
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,ALGN
ALLE,Allegion plc,Industrials,Security & Protection Services,ALLE
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,AMAT
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,AMD
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,ANET
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,AOS
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,APD
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,APTV
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,ATO
AVGO,Broadcom Inc.,Technology,Semiconductors,AVGO
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,AVY
AXON,Axovant Sciences Ltd. Common Shares,Industrials,Aerospace & Defense,AXON
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,AZO
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,BBY
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,BDX
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,BIIB
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,BKNG
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,BKR
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,BLDR
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,BSX
BURL,"Burlington Stores, Inc.",Consumer Cyclical,Apparel Retail,BURL
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,CAH
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,CARR
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,CBRE
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,CDNS
CDW,CDW Corporation,Technology,Information Technology Services,CDW
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,CEG
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,CF
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,CHD
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,CHRW
CIEN,Ciena Corporation,Technology,Communication Equipment,CIEN
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,CL
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,CLX
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,CMI
COHR,Coherent Corp.,Technology,Scientific & Technical Instruments,COHR
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,COO
COP,ConocoPhillips,Energy,Oil & Gas E&P,COP
COR,"Cencora, Inc.",Healthcare,Medical Distribution,COR
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,CPRT
CRH,CRH plc,Basic Materials,Building Materials,CRH
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,CRL
CRM,"Salesforce, Inc.",Technology,Software - Application,CRM
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,CRWD
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,CSCO
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,CSGP
CSX,CSX Corporation,Industrials,Railroads,CSX
CTAS,Cintas Corporation,Industrials,Specialty Business Services,CTAS
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,CTSH
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,CTVA
CVNA,Carvana Co.,Consumer Cyclical,Auto & Truck Dealerships,CVNA
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,CVX
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,DAL
DASH,"DoorDash, Inc.",Consumer Cyclical,Internet Retail,DASH
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,DD
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,DECK
DELL,Dell Technologies Inc.,Technology,Computer Hardware,DELL
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,DGX
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,DHI
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,DHR
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,DLR
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,DLTR
DOCU,"DocuSign, Inc.",Technology,Software - Application,DOCU
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,DOV
DOW,Dow Inc.,Basic Materials,Chemicals,DOW
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,DVN
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,DXCM
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,EBAY
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,ECL
EFX,Equifax Inc.,Industrials,Consulting Services,EFX
EL,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,EL
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,EMR
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,EOG
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,EQIX
